Index	Label	Type	Name	ID	Integral [QL]	Area [pixel]	Bkg [QL]	Integral-Bkg [QL]	Integral/Area [QL/mm²]	Integral/Area-Bkg [QL/mm²]	Median [QL]	Median-Bkg [QL]	Normalized [%]	Normalized-Bkg [%]	Average [QL]	Average-Bkg [QL]	Average [%]	Average-Bkg [%]	Deviation [QL]	Deviation [%]	Deviation-Bkg [QL]	Deviation-Bkg [%]	Homogeneity [%]	Quality
23	1-2,1			150D2	48870.0	208	20696.0	28174.0	2349519.2	1354519.2	160.0	60.5	--	--	--	--	--	--	--	--	--	--	36.9	
24	1-2,2			196K10	65713.0	208	25584.0	40129.0	3159278.8	1929278.8	155.0	32.0	--	--	--	--	--	--	--	--	--	--	1.8	
25	1-2,3			187F5	731026.0	208	25688.0	705338.0	35145480.8	33910480.8	1337.0	1213.5	--	--	--	--	--	--	--	--	--	--	8.1	
26	1-2,4			181O19	496173.0	208	27248.0	468925.0	23854471.2	22544471.2	704.0	573.0	--	--	--	--	--	--	--	--	--	--	31.7	sd.
27	1-2,5			198M14	33884.0	208	32240.0	1644.0	1629038.5	79038.5	126.0	-29.0	--	--	--	--	--	--	--	--	--	--	459.2	
28	1-2,6			164C7	87988.0	208	33176.0	54812.0	4230192.3	2635192.3	195.0	35.5	--	--	--	--	--	--	--	--	--	--	84.8	
29	1-2,7			8A12	251620.0	208	21632.0	229988.0	12097115.4	11057115.4	622.5	518.5	--	--	--	--	--	--	--	--	--	--	38.9	sd.
30	1-2,8			104G13	41387.0	208	26312.0	15075.0	1989759.6	724759.6	132.0	5.5	--	--	--	--	--	--	--	--	--	--	8.8	
31	1-2,9			122G20	109845.0	208	28080.0	81765.0	5281009.6	3931009.6	294.0	159.0	--	--	--	--	--	--	--	--	--	--	44.2	
32	1-2,10			184F7	481267.0	208	26312.0	454955.0	23137836.5	21872836.5	268.5	142.0	--	--	--	--	--	--	--	--	--	--	38.7	sd.
33	1-2,11			126C20	23735.0	208	18720.0	5015.0	1141105.8	241105.8	90.5	0.5	--	--	--	--	--	--	--	--	--	--	75.7	
34	1-2,12			120O7	33106.0	208	17056.0	16050.0	1591634.6	771634.6	125.0	43.0	--	--	--	--	--	--	--	--	--	--	5.1	
35	1-2,13			32I13	327500.0	208	11960.0	315540.0	15745192.3	15170192.3	706.0	648.5	--	--	--	--	--	--	--	--	--	--	34.8	sd.
36	1-2,14			105C20	32895.0	208	21216.0	11679.0	1581490.4	561490.4	125.5	23.5	--	--	--	--	--	--	--	--	--	--	26.9	
37	1-2,15			108I20	26543.0	208	16848.0	9695.0	1276105.8	466105.8	107.5	26.5	--	--	--	--	--	--	--	--	--	--	27.0	
38	1-2,16			100G14	56819.0	208	20488.0	36331.0	2731682.7	1746682.7	108.0	9.5	--	--	--	--	--	--	--	--	--	--	68.6	
39	1-2,17			62K7	172388.0	208	18720.0	153668.0	8287884.6	7387884.6	607.5	517.5	--	--	--	--	--	--	--	--	--	--	15.8	
40	1-2,18			112K8	32572.0	208	24232.0	8340.0	1565961.5	400961.5	115.5	-1.0	--	--	--	--	--	--	--	--	--	--	148.7	
41	1-2,19			176P17	1050282.0	208	25480.0	1024802.0	50494326.9	49269326.9	1178.0	1055.5	--	--	--	--	--	--	--	--	--	--	3.2	
42	1-2,20			92O6	97849.0	208	34008.0	63841.0	4704278.8	3069278.8	299.5	136.0	--	--	--	--	--	--	--	--	--	--	32.8	
43	1-2,21			124G19	32452.0	208	26104.0	6348.0	1560192.3	305192.3	125.5	0.0	--	--	--	--	--	--	--	--	--	--	66.6	
44	1-2,22			169A7	98287.0	208	32968.0	65319.0	4725336.5	3140336.5	246.5	88.0	--	--	--	--	--	--	--	--	--	--	36.9	
45	1-3,1			83C2	99478.0	208	18928.0	80550.0	4782596.2	3872596.2	212.5	121.5	--	--	--	--	--	--	--	--	--	--	45.1	sd.
46	1-3,2			21C10	80970.0	208	21736.0	59234.0	3892788.5	2847788.5	267.5	163.0	--	--	--	--	--	--	--	--	--	--	40.5	
47	1-3,3			188B1	558995.0	208	22464.0	536531.0	26874759.6	25794759.6	529.5	421.5	--	--	--	--	--	--	--	--	--	--	36.9	sd.
48	1-3,4			181O8	222704.0	208	15808.0	206896.0	10706923.1	9946923.1	508.0	432.0	--	--	--	--	--	--	--	--	--	--	49.6	sd.
49	1-3,5			emptywell	26270.0	208	10296.0	15974.0	1262980.8	767980.8	93.0	43.5	--	--	--	--	--	--	--	--	--	--	36.9	
50	1-3,6			190C18	283965.0	208	20384.0	263581.0	13652163.5	12672163.5	426.0	328.0	--	--	--	--	--	--	--	--	--	--	50.9	sd.
51	1-3,7			6O2	71934.0	208	22048.0	49886.0	3458365.4	2398365.4	226.5	120.5	--	--	--	--	--	--	--	--	--	--	30.4	
52	1-3,8			104L12	42411.0	208	17784.0	24627.0	2038990.4	1183990.4	124.5	39.0	--	--	--	--	--	--	--	--	--	--	15.8	
53	1-3,9			21D12	136111.0	208	20800.0	115311.0	6543798.1	5543798.1	271.0	171.0	--	--	--	--	--	--	--	--	--	--	45.7	sd.
54	1-3,10			185L14	90754.0	208	16432.0	74322.0	4363173.1	3573173.1	203.5	124.5	--	--	--	--	--	--	--	--	--	--	42.7	sd.
55	1-3,11			126G2	456093.0	208	22880.0	433213.0	21927548.1	20827548.1	327.0	217.0	--	--	--	--	--	--	--	--	--	--	48.2	sd.
56	1-3,12			120O13	83827.0	208	13728.0	70099.0	4030144.2	3370144.2	165.0	99.0	--	--	--	--	--	--	--	--	--	--	104.1	sd.
57	1-3,13			31K1	126029.0	208	13104.0	112925.0	6059086.5	5429086.5	484.0	421.0	--	--	--	--	--	--	--	--	--	--	12.0	
58	1-3,14			105D13	25618.0	208	18512.0	7106.0	1231634.6	341634.6	101.0	12.0	--	--	--	--	--	--	--	--	--	--	83.5	
59	1-3,15			107O1	44851.0	208	18408.0	26443.0	2156298.1	1271298.1	182.0	93.5	--	--	--	--	--	--	--	--	--	--	13.2	
60	1-3,16			98G13	58796.0	208	20696.0	38100.0	2826730.8	1831730.8	125.5	26.0	--	--	--	--	--	--	--	--	--	--	101.7	
61	1-3,17			117G1	47872.0	208	22256.0	25616.0	2301538.5	1231538.5	172.0	65.0	--	--	--	--	--	--	--	--	--	--	26.0	
62	1-3,18			112L14	38015.0	208	22464.0	15551.0	1827644.2	747644.2	134.5	26.5	--	--	--	--	--	--	--	--	--	--	94.4	
